Location,What,Value,Unit
GPU[1].SA[3].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[3].CU[2],cu_inst_count,0.0,count
GPU[1].SA[3].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[3].CU[2],simd_inst_count,0.0,count
GPU[1].SA[3].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[3].CU[3],cu_inst_count,0.0,count
GPU[1].SA[3].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[3].CU[3],simd_inst_count,0.0,count
GPU[1].SA[3].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[4].CU[0],cu_inst_count,0.0,count
GPU[1].SA[4].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[4].CU[0],simd_inst_count,0.0,count
GPU[1].SA[4].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[4].CU[1],cu_inst_count,0.0,count
GPU[1].SA[4].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[4].CU[1],simd_inst_count,0.0,count
GPU[1].SA[4].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[4].CU[2],cu_inst_count,0.0,count
GPU[1].SA[4].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[4].CU[2],simd_inst_count,0.0,count
GPU[1].SA[4].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[4].CU[3],cu_inst_count,0.0,count
GPU[1].SA[4].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[4].CU[3],simd_inst_count,0.0,count
GPU[1].SA[4].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[5].CU[0],cu_inst_count,0.0,count
GPU[1].SA[5].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[5].CU[0],simd_inst_count,0.0,count
GPU[1].SA[5].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[5].CU[1],cu_inst_count,0.0,count
GPU[1].SA[5].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[5].CU[1],simd_inst_count,0.0,count
GPU[1].SA[5].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[5].CU[2],cu_inst_count,0.0,count
GPU[1].SA[5].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[5].CU[2],simd_inst_count,0.0,count
GPU[1].SA[5].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[5].CU[3],cu_inst_count,0.0,count
GPU[1].SA[5].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[5].CU[3],simd_inst_count,0.0,count
GPU[1].SA[5].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[6].CU[0],cu_inst_count,0.0,count
GPU[1].SA[6].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[6].CU[0],simd_inst_count,0.0,count
GPU[1].SA[6].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[6].CU[1],cu_inst_count,0.0,count
GPU[1].SA[6].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[6].CU[1],simd_inst_count,0.0,count
GPU[1].SA[6].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[6].CU[2],cu_inst_count,0.0,count
GPU[1].SA[6].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[6].CU[2],simd_inst_count,0.0,count
GPU[1].SA[6].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[6].CU[3],cu_inst_count,0.0,count
GPU[1].SA[6].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[6].CU[3],simd_inst_count,0.0,count
GPU[1].SA[6].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[7].CU[0],cu_inst_count,0.0,count
GPU[1].SA[7].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[7].CU[0],simd_inst_count,0.0,count
GPU[1].SA[7].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[7].CU[1],cu_inst_count,0.0,count
GPU[1].SA[7].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[7].CU[1],simd_inst_count,0.0,count
GPU[1].SA[7].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[7].CU[2],cu_inst_count,0.0,count
GPU[1].SA[7].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[7].CU[2],simd_inst_count,0.0,count
GPU[1].SA[7].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[7].CU[3],cu_inst_count,0.0,count
GPU[1].SA[7].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[7].CU[3],simd_inst_count,0.0,count
GPU[1].SA[7].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[8].CU[0],cu_inst_count,0.0,count
GPU[1].SA[8].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[8].CU[0],simd_inst_count,0.0,count
GPU[1].SA[8].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[8].CU[1],cu_inst_count,0.0,count
GPU[1].SA[8].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[8].CU[1],simd_inst_count,0.0,count
GPU[1].SA[8].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[8].CU[2],cu_inst_count,0.0,count
GPU[1].SA[8].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[8].CU[2],simd_inst_count,0.0,count
GPU[1].SA[8].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[8].CU[3],cu_inst_count,0.0,count
GPU[1].SA[8].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[8].CU[3],simd_inst_count,0.0,count
GPU[1].SA[8].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[9].CU[0],cu_inst_count,0.0,count
GPU[1].SA[9].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[9].CU[0],simd_inst_count,0.0,count
GPU[1].SA[9].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[9].CU[1],cu_inst_count,0.0,count
GPU[1].SA[9].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[9].CU[1],simd_inst_count,0.0,count
GPU[1].SA[9].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[9].CU[2],cu_inst_count,0.0,count
GPU[1].SA[9].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[9].CU[2],simd_inst_count,0.0,count
GPU[1].SA[9].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[9].CU[3],cu_inst_count,0.0,count
GPU[1].SA[9].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[9].CU[3],simd_inst_count,0.0,count
GPU[1].SA[9].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[10].CU[0],cu_inst_count,0.0,count
GPU[1].SA[10].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[10].CU[0],simd_inst_count,0.0,count
GPU[1].SA[10].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[10].CU[1],cu_inst_count,0.0,count
GPU[1].SA[10].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[10].CU[1],simd_inst_count,0.0,count
GPU[1].SA[10].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[10].CU[2],cu_inst_count,0.0,count
GPU[1].SA[10].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[10].CU[2],simd_inst_count,0.0,count
GPU[1].SA[10].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[10].CU[3],cu_inst_count,0.0,count
GPU[1].SA[10].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[10].CU[3],simd_inst_count,0.0,count
GPU[1].SA[10].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[11].CU[0],cu_inst_count,0.0,count
GPU[1].SA[11].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[11].CU[0],simd_inst_count,0.0,count
GPU[1].SA[11].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[11].CU[1],cu_inst_count,0.0,count
GPU[1].SA[11].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[11].CU[1],simd_inst_count,0.0,count
GPU[1].SA[11].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[11].CU[2],cu_inst_count,0.0,count
GPU[1].SA[11].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[11].CU[2],simd_inst_count,0.0,count
GPU[1].SA[11].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[11].CU[3],cu_inst_count,0.0,count
GPU[1].SA[11].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[11].CU[3],simd_inst_count,0.0,count
GPU[1].SA[11].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[12].CU[0],cu_inst_count,0.0,count
GPU[1].SA[12].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[12].CU[0],simd_inst_count,0.0,count
GPU[1].SA[12].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[12].CU[1],cu_inst_count,0.0,count
GPU[1].SA[12].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[12].CU[1],simd_inst_count,0.0,count
GPU[1].SA[12].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[12].CU[2],cu_inst_count,0.0,count
GPU[1].SA[12].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[12].CU[2],simd_inst_count,0.0,count
GPU[1].SA[12].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[12].CU[3],cu_inst_count,0.0,count
GPU[1].SA[12].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[12].CU[3],simd_inst_count,0.0,count
GPU[1].SA[12].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[13].CU[0],cu_inst_count,0.0,count
GPU[1].SA[13].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[13].CU[0],simd_inst_count,0.0,count
GPU[1].SA[13].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[13].CU[1],cu_inst_count,0.0,count
GPU[1].SA[13].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[13].CU[1],simd_inst_count,0.0,count
GPU[1].SA[13].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[13].CU[2],cu_inst_count,0.0,count
GPU[1].SA[13].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[13].CU[2],simd_inst_count,0.0,count
GPU[1].SA[13].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[13].CU[3],cu_inst_count,0.0,count
GPU[1].SA[13].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[13].CU[3],simd_inst_count,0.0,count
GPU[1].SA[13].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[14].CU[0],cu_inst_count,0.0,count
GPU[1].SA[14].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[14].CU[0],simd_inst_count,0.0,count
GPU[1].SA[14].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[14].CU[1],cu_inst_count,0.0,count
GPU[1].SA[14].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[14].CU[1],simd_inst_count,0.0,count
GPU[1].SA[14].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[14].CU[2],cu_inst_count,0.0,count
GPU[1].SA[14].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[14].CU[2],simd_inst_count,0.0,count
GPU[1].SA[14].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[14].CU[3],cu_inst_count,0.0,count
GPU[1].SA[14].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[14].CU[3],simd_inst_count,0.0,count
GPU[1].SA[14].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[15].CU[0],cu_inst_count,0.0,count
GPU[1].SA[15].CU[0],cu_CPI,inf,cycles/inst
GPU[1].SA[15].CU[0],simd_inst_count,0.0,count
GPU[1].SA[15].CU[0],simd_CPI,inf,cycles/inst
GPU[1].SA[15].CU[1],cu_inst_count,0.0,count
GPU[1].SA[15].CU[1],cu_CPI,inf,cycles/inst
GPU[1].SA[15].CU[1],simd_inst_count,0.0,count
GPU[1].SA[15].CU[1],simd_CPI,inf,cycles/inst
GPU[1].SA[15].CU[2],cu_inst_count,0.0,count
GPU[1].SA[15].CU[2],cu_CPI,inf,cycles/inst
GPU[1].SA[15].CU[2],simd_inst_count,0.0,count
GPU[1].SA[15].CU[2],simd_CPI,inf,cycles/inst
GPU[1].SA[15].CU[3],cu_inst_count,0.0,count
GPU[1].SA[15].CU[3],cu_CPI,inf,cycles/inst
GPU[1].SA[15].CU[3],simd_inst_count,0.0,count
GPU[1].SA[15].CU[3],simd_CPI,inf,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Branch,0.27777777777763396,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Fetch,30.148148148147996,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Idle,0.22222222222195656,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.LDS,0.07407407407398553,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarInst,1.1111111111120417,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarMem,15.518518518518412,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarMemInst,0.05555555555567738,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Special,0.09259259259229367,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VALU,1.9444444444444415,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VMem,30.888888888888854,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VMemInst,2.3333333333334303,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.total,82.68518518518529,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Branch,0.7142857142853445,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Fetch,77.52380952380913,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Idle,0.5714285714278883,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.LDS,0.1904761904759628,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarInst,2.85714285714525,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarMem,39.904761904761635,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarMemInst,0.1428571428574561,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Special,0.23809523809446945,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VALU,4.999999999999993,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VMem,79.42857142857135,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VMemInst,6.000000000000249,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.total,212.61904761904788,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[0].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[1].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[1].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[1].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[1].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[1].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[1].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[1].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[1].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[2].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[2].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[2].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[2].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[2].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[2].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[2].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[2].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[3].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[3].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[3].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[3].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[3].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[3].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[3].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[3].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[4].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[4].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[4].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[4].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[4].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[4].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[4].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[4].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[5].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[5].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[5].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[5].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[5].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[5].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[5].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[5].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[6].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[6].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[6].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[6].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[6].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[6].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[6].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[6].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[7].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[7].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[7].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[7].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[7].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[7].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[7].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[7].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[8].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[8].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[8].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[8].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[8].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[8].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[8].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[8].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[9].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[9].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[9].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[9].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[9].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[9].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[9].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[9].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[10].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[10].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[10].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[10].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[10].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[10].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[10].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[10].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[11].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[11].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[11].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[11].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[11].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[11].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[11].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[11].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[12].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[12].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[12].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[12].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[12].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[12].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[12].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[12].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[13].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[13].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[13].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[13].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[13].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[13].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[13].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[13].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[14].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[14].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[14].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[14].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[14].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[14].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[14].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[14].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[15].CU[0],CPIStack.total,,cycles/inst
GPU[1].SA[15].CU[0],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[15].CU[1],CPIStack.total,,cycles/inst
GPU[1].SA[15].CU[1],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[15].CU[2],CPIStack.total,,cycles/inst
GPU[1].SA[15].CU[2],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[15].CU[3],CPIStack.total,,cycles/inst
GPU[1].SA[15].CU[3],SIMDCPIStack.total,,cycles/inst
GPU[1].SA[0].L1VCache[0],req_average_latency,1.2199999999999646e-07,second
GPU[1].SA[0].L1SCache,req_average_latency,1.2099999999999427e-07,second
GPU[1].SA[0].L1ICache,req_average_latency,1.0792000000000028e-07,second
GPU[1].L2Cache[0],req_average_latency,1.1700000000000131e-07,second
GPU[1].L2Cache[1],req_average_latency,1.1699999999999905e-07,second
GPU[1].L2Cache[2],req_average_latency,1.1699999999999905e-07,second
GPU[1].L2Cache[3],req_average_latency,1.1699999999999905e-07,second
GPU[1].L2Cache[6],req_average_latency,1.1699999999999905e-07,second
GPU[1].L2Cache[7],req_average_latency,1.170000000000126e-07,second
GPU[1].L2Cache[13],req_average_latency,1.170000000000126e-07,second
GPU[1].L2Cache[14],req_average_latency,1.170000000000126e-07,second
GPU[1].L2Cache[15],req_average_latency,1.170000000000126e-07,second
GPU[1].SA[0].L1VCache[0],read-hit,0.0,count
GPU[1].SA[0].L1VCache[0],read-miss,1.0,count
